business_name,inflow_amount,gst_delay_days,bounce_count
Rahul Solutions 810,232010,10,5
Anjali Industries 811,574981,6,3
Neha Enterprises 812,605801,12,1
Rohan Enterprises 813,748031,10,4
Rohan Logistics 814,447684,1,2
Neha Farms 815,718023,0,1
Raj Textiles 816,747057,5,2
Aditya Exports 817,773567,21,5
Anjali Industries 818,198903,4,5
Vikram Solutions 819,263770,0,3
Pooja Textiles 820,274757,7,3
Rahul Farms 821,774217,13,0
Raj Industries 822,622990,12,2
Karan Tech 823,217637,18,4
Anjali Textiles 824,730773,8,2
Rohan Solutions 825,600799,10,1
Vikram Farms 826,425045,0,5
Rohan Tech 827,135949,15,5
Aditya Solutions 828,600817,20,1
Raj Textiles 829,428156,12,4
Aditya Enterprises 830,550023,10,0
Raj Exports 831,796626,21,5
Rohan Solutions 832,338826,5,3
Pooja Textiles 833,65444,18,3
Rohan Traders 834,627528,23,5
Vikram Solutions 835,405229,7,2
Anjali Exports 836,66379,30,1
Sneha Logistics 837,595460,0,5
Rahul Farms 838,55603,23,3
Pooja Logistics 839,173565,21,1
Sneha Farms 840,247116,18,3
Sneha Logistics 841,585869,4,1
Vikram Logistics 842,37234,26,2
Rahul Solutions 843,572108,29,0
Sneha Industries 844,627812,13,5
Neha Industries 845,641044,3,0
Rohan Solutions 846,659875,5,4
Karan Enterprises 847,96813,18,2
Karan Solutions 848,790684,9,2
Karan Exports 849,261254,9,4
Rahul Exports 850,116368,1,5
Neha Solutions 851,722762,2,3
Vikram Exports 852,449521,6,3
Neha Enterprises 853,757427,3,3
Karan Enterprises 854,158830,18,3
Raj Traders 855,638967,9,5
Raj Tech 856,704036,2,3
Neha Solutions 857,361939,17,4
Aditya Textiles 858,757348,1,1
Rahul Farms 859,355263,4,3
Pooja Tech 860,144268,5,2
Vikram Logistics 861,461414,15,4
Rohan Textiles 862,713559,25,2
Aditya Exports 863,274498,10,1
Rohan Traders 864,294278,20,1
Karan Farms 865,482995,26,4
Pooja Tech 866,30294,25,5
Aditya Exports 867,218962,2,3
Rahul Industries 868,749205,3,1
Anjali Traders 869,240165,6,4
Neha Exports 870,404838,7,1
Pooja Textiles 871,799500,17,4
Rahul Farms 872,118667,17,4
Rahul Farms 873,770543,13,2
Karan Tech 874,755415,5,2
Pooja Textiles 875,436446,1,1
Vikram Exports 876,339048,15,3
Raj Solutions 877,623908,0,5
Karan Exports 878,507687,23,4
Karan Tech 879,767164,7,2
Sneha Textiles 880,100439,20,5
Rahul Industries 881,198149,30,0
Aditya Industries 882,80259,1,3
Rahul Industries 883,693373,23,4
Anjali Logistics 884,236556,21,3
Raj Exports 885,556062,13,4
Karan Tech 886,24014,3,1
Aditya Enterprises 887,257234,24,2
Raj Exports 888,482867,15,5
Rahul Exports 889,601192,28,0
Pooja Farms 890,167845,20,3
Rahul Tech 891,632151,3,0
Neha Textiles 892,342981,3,2
Karan Solutions 893,216013,4,5
Karan Enterprises 894,294009,8,0
Rohan Farms 895,432179,13,2
Pooja Textiles 896,102559,17,1
Aditya Industries 897,166237,23,3
Sneha Enterprises 898,719038,19,5
Anjali Farms 899,59657,6,1
Rohan Traders 900,255627,26,5
Raj Enterprises 901,325122,0,1
Rohan Solutions 902,266209,2,0
Aditya Farms 903,185404,18,5
Rohan Traders 904,141190,28,2
Pooja Textiles 905,299358,15,0
Raj Logistics 906,163985,6,1
Raj Textiles 907,602602,25,0
Rohan Textiles 908,542848,11,3
Raj Farms 909,46629,3,3
Raj Solutions 910,39652,29,2
Aditya Solutions 911,432797,29,2
Karan Farms 912,470903,22,2
Anjali Traders 913,497171,22,3
Sneha Exports 914,25461,25,5
Sneha Enterprises 915,229077,11,1
Rahul Logistics 916,292013,13,1
Karan Exports 917,725433,5,3
Rohan Exports 918,552630,27,1
Aditya Solutions 919,680234,13,5
Rahul Traders 920,405155,15,3
Neha Farms 921,480820,19,3
Rahul Logistics 922,207401,12,5
Rahul Tech 923,33915,19,3
Rohan Traders 924,624379,2,3
Rahul Exports 925,544914,18,3
Rohan Enterprises 926,465276,6,3
Sneha Enterprises 927,728566,5,3
Anjali Tech 928,574992,18,4
Pooja Traders 929,98382,13,0
Rahul Solutions 930,666782,11,2
Anjali Tech 931,93611,19,4
Karan Farms 932,201704,16,0
Anjali Industries 933,426502,5,2
Sneha Enterprises 934,689221,5,5
Anjali Traders 935,375146,14,5
Raj Enterprises 936,667624,3,5
Raj Traders 937,460881,11,4
Rahul Exports 938,132041,17,0
Vikram Traders 939,413115,19,2
Vikram Solutions 940,303518,14,1
Karan Farms 941,73734,23,5
Rohan Textiles 942,103841,16,4
Rohan Farms 943,685628,26,0
Aditya Traders 944,337572,18,1
Pooja Solutions 945,651600,16,5
Neha Enterprises 946,291262,19,3
Pooja Textiles 947,280537,23,0
Rohan Logistics 948,786846,6,1
Raj Industries 949,428229,0,3
Vikram Solutions 950,209688,19,0
Vikram Solutions 951,424420,25,3
Aditya Industries 952,490408,15,3
Sneha Textiles 953,498509,28,3
Sneha Farms 954,195549,14,4
Rahul Enterprises 955,572349,3,5
Neha Traders 956,469299,2,2
Rohan Exports 957,218799,5,3
Vikram Farms 958,219314,24,2
Rohan Exports 959,734502,4,4
Aditya Solutions 960,401618,17,2
Pooja Farms 961,768476,19,5
Anjali Industries 962,587516,18,5
Anjali Farms 963,257917,13,1
Pooja Solutions 964,615898,24,2
Aditya Solutions 965,72481,28,5
Neha Logistics 966,249510,11,4
Rohan Textiles 967,389144,14,1
Rahul Enterprises 968,107017,1,3
Neha Farms 969,523255,27,1
Aditya Textiles 970,345109,20,1
Sneha Exports 971,760000,1,1
Pooja Solutions 972,388477,27,5
Raj Exports 973,275971,13,2
Pooja Solutions 974,421464,16,0
Anjali Textiles 975,55146,2,5
Neha Industries 976,195300,15,3
Pooja Solutions 977,741095,27,3
Pooja Textiles 978,727405,15,5
Sneha Textiles 979,632301,14,1
Rohan Industries 980,385553,30,3
Aditya Solutions 981,151633,17,5
Sneha Traders 982,508501,25,5
Vikram Solutions 983,238391,15,4
Anjali Enterprises 984,557172,28,4
Anjali Logistics 985,48555,12,4
Aditya Farms 986,755424,30,5
Aditya Textiles 987,726373,11,5
Aditya Enterprises 988,300481,13,2
Rohan Enterprises 989,599088,28,2
Karan Farms 990,528586,0,0
Sneha Industries 991,426277,27,1
Vikram Farms 992,517028,30,3
Rahul Logistics 993,342828,16,4
Vikram Tech 994,468375,18,2
Anjali Farms 995,124632,0,2
Rohan Tech 996,154401,8,0
Rohan Textiles 997,379175,15,0
Raj Traders 998,556069,19,3
Neha Logistics 999,676998,24,0
Rohan Enterprises 1000,212560,9,3
